champion,challenger,rew_mean,rew_std,wins_rate,draws_rate,losses_rate,wins_len_mean,wins_len_std,draws_len_mean,draws_len_std,losses_len_mean,losses_len_std
likely-valley,likely-valley,0.8084,30.850262388511382,0.5009,0.02,0.4791,18.115,2.278,20.0,0.0,18.125,2.278
likely-valley,fiery-water,0.911,30.669076917964126,0.514,0.0188,0.4672,18.141,2.28,20.0,0.0,17.998,2.346
likely-valley,kind-surf,2.8262,30.576484323087243,0.5155,0.0222,0.4623,17.721,2.384,20.0,0.0,18.178,2.255
likely-valley,zesty-sound,0.3019,31.087041615277577,0.4779,0.02,0.5021,17.668,2.47,20.0,0.0,18.046,2.408
likely-valley,helpful-sound,7.737,31.003190658382245,0.6028,0.0194,0.3778,17.452,2.615,20.0,0.0,17.872,2.432
likely-valley,chocolate-cherry,24.2104,31.07518192770559,0.7444,0.0156,0.24,16.027,3.014,20.0,0.0,18.742,2.104
likely-valley,silver-thunder,0.6941,31.212499502442924,0.5026,0.0225,0.4749,17.887,2.421,20.0,0.0,17.806,2.498
likely-valley,atomic-dragon,4.927,31.11743998146377,0.5608,0.0201,0.4191,17.602,2.543,20.0,0.0,17.829,2.439
fiery-water,likely-valley,0.975,31.186432546862424,0.499,0.02,0.481,17.962,2.423,20.0,0.0,18.058,2.336
fiery-water,fiery-water,1.039,31.161740628533572,0.5057,0.0197,0.4746,17.862,2.5,20.0,0.0,17.871,2.479
fiery-water,kind-surf,2.8516,30.819863358554983,0.5189,0.02,0.4611,17.684,2.449,20.0,0.0,18.094,2.333
fiery-water,zesty-sound,0.5782,31.119911387405974,0.4749,0.0215,0.5036,17.539,2.513,20.0,0.0,18.007,2.462
fiery-water,helpful-sound,7.8282,31.22755969908632,0.6003,0.0204,0.3793,17.333,2.69,20.0,0.0,17.826,2.487
fiery-water,chocolate-cherry,24.1993,31.21625825607547,0.7428,0.0139,0.2433,15.856,3.122,20.0,0.0,18.649,2.23
fiery-water,silver-thunder,0.7417,31.411609018163965,0.4942,0.021,0.4848,17.727,2.498,20.0,0.0,17.76,2.594
fiery-water,atomic-dragon,5.3201,31.469118767293118,0.5601,0.0214,0.4185,17.37,2.659,20.0,0.0,17.745,2.479
kind-surf,likely-valley,-2.5514,30.63161043823847,0.4639,0.0195,0.5166,18.149,2.331,20.0,0.0,17.768,2.361
kind-surf,fiery-water,-2.4868,30.829265735012243,0.4688,0.0242,0.507,18.134,2.326,20.0,0.0,17.553,2.503
kind-surf,kind-surf,-0.1276,30.920525840289326,0.4916,0.0212,0.4872,17.826,2.388,20.0,0.0,17.686,2.425
kind-surf,zesty-sound,-1.584,31.211983980516205,0.4608,0.0223,0.5169,17.722,2.467,20.0,0.0,17.666,2.554
kind-surf,helpful-sound,4.9252,31.383317303306224,0.5626,0.024,0.4134,17.464,2.628,20.0,0.0,17.593,2.445
kind-surf,chocolate-cherry,21.9011,32.073292920902276,0.7254,0.0166,0.258,16.028,3.139,20.0,0.0,18.409,2.271
kind-surf,silver-thunder,-2.2381,31.239583998350554,0.4661,0.0234,0.5105,17.803,2.496,20.0,0.0,17.442,2.559
kind-surf,atomic-dragon,2.4657,31.34511163658538,0.5391,0.0222,0.4387,17.642,2.588,20.0,0.0,17.466,2.489
