model,rew_mean,rew_std,wins_rate,wins_len_mean,wins_len_std,draws_rate,draws_len_mean,draws_len_std,losses_rate,losses_len_mean,losses_len_std,strategy,seed,n_eval_episodes,played
skilled-serenity,-4.0974,29.620005287643007,0.4319,18.397,2.206,0.0226,20.0,0.0,0.5455,17.885,2.296,greedy,1337,10000,false
hardy-galaxy,-7.5407,29.979965702281916,0.368,18.238,2.284,0.0193,20.0,0.0,0.6127,18.091,2.146,greedy,1337,10000,false
likely-valley,-1.2779,29.4771449022798,0.4453,18.017,2.363,0.0199,20.0,0.0,0.5348,18.564,1.877,greedy,1337,10000,true
lively-cosmos,0.9696,28.720182378251014,0.5317,18.341,2.066,0.0297,20.0,0.0,0.4386,17.85,2.304,greedy,1337,10000,false
dark-salad,-0.5518,29.8428939072604,0.4789,18.484,2.288,0.0186,20.0,0.0,0.5025,18.464,1.971,greedy,1337,10000,false
cosmic-firebrand,-11.2577,29.970063241675014,0.3261,18.12,2.493,0.0208,20.0,0.0,0.6531,17.662,2.435,greedy,1337,10000,false
true-star,7.6112,26.93301012809374,0.6044,18.273,2.097,0.0234,20.0,0.0,0.3722,18.691,1.759,greedy,1337,10000,false
fiery-water,-2.2849,29.50355117591779,0.4296,18.018,2.365,0.0223,20.0,0.0,0.5481,18.404,2.012,greedy,1337,10000,true
best_model,-2.7133,27.653215059193386,0.4332,18.392,1.943,0.0248,20.0,0.0,0.542,18.393,1.965,greedy,1337,10000,false
kind-surf,-5.7976,29.44831802055934,0.3972,18.304,2.296,0.0225,20.0,0.0,0.5803,18.078,2.093,greedy,1337,10000,true
easy-shape,-1.0413,28.499894636822784,0.5208,18.79,1.631,0.0233,20.0,0.0,0.4559,17.93,2.266,greedy,1337,10000,false
smart-dragon,-6.5029,27.985521106279222,0.4168,18.307,2.177,0.0235,20.0,0.0,0.5597,17.342,2.382,greedy,1337,10000,false
warm-river,-0.3322,29.91651121304087,0.483,18.402,2.41,0.0217,20.0,0.0,0.4953,18.287,2.106,greedy,1337,10000,false
upbeat-darkness,-23.0491,31.09806568245041,0.2259,18.158,2.716,0.0153,20.0,0.0,0.7588,16.549,2.751,greedy,1337,10000,false
autumn-night,4.98,25.447648221397593,0.5949,18.543,1.85,0.0268,20.0,0.0,0.3783,18.493,1.759,greedy,1337,10000,false
blooming-bird,5.7674,26.935138708386113,0.5925,18.036,2.232,0.0242,20.0,0.0,0.3833,18.228,1.889,greedy,1337,10000,false
zesty-sound,-4.4352,29.37917971897786,0.4221,18.341,2.281,0.0231,20.0,0.0,0.5548,18.079,2.149,greedy,1337,10000,true
helpful-sound,-12.8992,28.52677758457832,0.2985,18.272,2.257,0.0222,20.0,0.0,0.6793,17.688,2.263,greedy,1337,10000,true
mild-aaldvark,1.1511,27.099628572915904,0.57,18.931,1.611,0.0249,20.0,0.0,0.4051,18.001,2.119,greedy,1337,10000,false
rich-mountain,1.3038,29.816332865729816,0.502,18.19,2.471,0.0193,20.0,0.0,0.4787,18.392,2.04,greedy,1337,10000,false
earnest-night,1.3038,29.816332865729816,0.502,18.19,2.471,0.0193,20.0,0.0,0.4787,18.392,2.04,greedy,1337,10000,false
chocolate-cherry,-32.1454,27.01761756410065,0.1452,18.946,2.085,0.0104,20.0,0.0,0.8444,16.18,2.7,greedy,1337,10000,true
bumbling-leaf,-0.4841,28.514868879060273,0.5253,18.647,1.787,0.0234,20.0,0.0,0.4513,17.922,2.219,greedy,1337,10000,false
silver-thunder,-5.136,29.520489562336188,0.4004,18.115,2.422,0.0184,20.0,0.0,0.5812,18.157,2.1,greedy,1337,10000,true
graceful-darkness,4.5263,26.41877946291236,0.5873,18.487,2.114,0.0269,20.0,0.0,0.3858,18.14,1.857,greedy,1337,10000,false
spring-snowflake,-0.0757,29.873512841813564,0.4853,18.381,2.375,0.0223,20.0,0.0,0.4924,18.324,2.098,greedy,1337,10000,false
atomic-dragon,-9.1791,29.38458819160139,0.3488,18.066,2.356,0.0237,20.0,0.0,0.6275,17.785,2.248,greedy,1337,10000,true
snowy-shape,3.2007,26.651127921909797,0.5572,18.711,1.844,0.027,20.0,0.0,0.4158,18.296,1.883,greedy,1337,10000,false
laced-pond,3.2051,26.376838968875706,0.5828,18.768,2.075,0.0286,20.0,0.0,0.3886,18.078,1.71,greedy,1337,10000,false
amber-lake,-0.8359,29.30222126716676,0.4704,17.901,2.219,0.023,20.0,0.0,0.5066,18.041,2.211,greedy,1337,10000,false
