model,rew_mean,rew_std,wins_rate,wins_len_mean,wins_len_std,draws_rate,draws_len_mean,draws_len_std,losses_rate,losses_len_mean,losses_len_std,strategy,seed,n_eval_episodes,played
skilled-serenity,28.1664,30.375281250385154,0.8029,14.864,3.317,0.0125,20.0,0.0,0.1846,17.547,2.74,random,1337,10000,false
hardy-galaxy,23.9598,31.854534747191018,0.7502,15.321,3.171,0.0156,20.0,0.0,0.2342,17.787,2.703,random,1337,10000,false
likely-valley,25.9203,30.489410422472915,0.7769,15.373,3.204,0.0177,20.0,0.0,0.2054,18.037,2.506,random,1337,10000,true
lively-cosmos,28.2546,30.549307338137798,0.8192,15.355,2.915,0.0153,20.0,0.0,0.1655,16.979,3.17,random,1337,10000,false
dark-salad,28.6676,30.4220168667365,0.8066,14.896,3.426,0.0135,20.0,0.0,0.1799,17.824,2.631,random,1337,10000,false
cosmic-firebrand,23.3603,32.80366875686316,0.7417,14.668,3.508,0.0181,20.0,0.0,0.2402,17.422,2.788,random,1337,10000,false
true-star,31.7046,26.85186285604781,0.8496,15.483,2.942,0.0119,20.0,0.0,0.1385,18.377,2.294,random,1337,10000,false
fiery-water,26.1286,30.819598667730897,0.7764,15.132,3.29,0.0145,20.0,0.0,0.2091,17.946,2.548,random,1337,10000,true
best_model,31.2011,27.623422285987665,0.8368,15.523,2.74,0.0123,20.0,0.0,0.1509,18.343,2.35,random,1337,10000,false
kind-surf,23.5435,31.84285960384211,0.7498,15.289,3.271,0.0152,20.0,0.0,0.235,17.658,2.511,random,1337,10000,true
easy-shape,24.5052,31.15516607177693,0.8015,15.999,2.731,0.0117,20.0,0.0,0.1868,16.929,3.191,random,1337,10000,false
smart-dragon,24.7148,32.07700829192149,0.7708,14.883,3.121,0.0151,20.0,0.0,0.2141,16.758,3.134,random,1337,10000,false
warm-river,28.841,30.437662837346757,0.8107,14.614,3.595,0.015,20.0,0.0,0.1743,17.705,2.607,random,1337,10000,false
upbeat-darkness,17.8253,35.57664655233823,0.6823,14.678,3.634,0.017,20.0,0.0,0.3007,16.832,3.072,random,1337,10000,false
autumn-night,31.7327,26.390124113198105,0.8628,15.498,2.928,0.0141,20.0,0.0,0.1231,18.127,2.389,random,1337,10000,false
blooming-bird,32.7809,26.143555519286203,0.8656,15.333,2.809,0.0125,20.0,0.0,0.1219,18.103,2.471,random,1337,10000,false
zesty-sound,24.5002,31.449209846353853,0.7651,15.217,3.33,0.0159,20.0,0.0,0.219,17.664,2.561,random,1337,10000,true
helpful-sound,20.5802,33.63662242199713,0.7108,15.158,3.253,0.0193,20.0,0.0,0.2699,17.294,2.735,random,1337,10000,true
mild-aaldvark,26.3137,29.323350632388514,0.8195,16.145,2.736,0.0126,20.0,0.0,0.1679,17.347,2.905,random,1337,10000,false
rich-mountain,29.273,29.683926138568665,0.8183,14.647,3.575,0.0131,20.0,0.0,0.1686,17.849,2.506,random,1337,10000,false
earnest-night,29.273,29.683926138568665,0.8183,14.647,3.575,0.0131,20.0,0.0,0.1686,17.849,2.506,random,1337,10000,false
chocolate-cherry,2.4598,38.71187652336167,0.5233,16.041,3.36,0.0184,20.0,0.0,0.4583,16.189,3.228,random,1337,10000,true
bumbling-leaf,25.0346,31.14992460408211,0.7998,15.801,2.91,0.0129,20.0,0.0,0.1873,16.993,3.111,random,1337,10000,false
silver-thunder,25.2291,31.506567778639422,0.7729,15.01,3.36,0.0143,20.0,0.0,0.2128,17.559,2.701,random,1337,10000,true
graceful-darkness,32.058,26.504128659512652,0.8661,15.271,3.007,0.0127,20.0,0.0,0.1212,17.955,2.41,random,1337,10000,false
spring-snowflake,28.679,30.573749508360926,0.8075,14.663,3.577,0.012,20.0,0.0,0.1805,17.838,2.514,random,1337,10000,false
atomic-dragon,22.5191,32.8770198647931,0.7344,15.029,3.26,0.015,20.0,0.0,0.2506,17.392,2.711,random,1337,10000,true
snowy-shape,33.5962,26.01120038675647,0.8691,15.24,2.933,0.011,20.0,0.0,0.1199,18.299,2.367,random,1337,10000,false
laced-pond,30.0723,28.617104547979693,0.8358,15.429,2.999,0.0144,20.0,0.0,0.1498,17.746,2.317,random,1337,10000,false
amber-lake,24.8962,31.636574175469757,0.7765,15.507,2.805,0.0145,20.0,0.0,0.209,17.106,2.946,random,1337,10000,false
